entry,path,depth,offset,size,metadata_0,metadata_1,kind,prefix_hex
2,0.0.18,2,404608,6320,0,0,nfh,4e464800
2,0.0.19,2,410928,2672,0,0,nfh,4e464800
2,0.0.20,2,413600,3728,0,0,nfh,4e464800
2,0.0.21,2,417328,4144,0,0,nfh,4e464800
2,0.0.22,2,421472,7920,0,0,nfh,4e464800
2,0.0.23,2,429392,2352,0,0,nfh,4e464800
2,0.0.24,2,431744,2352,0,0,nfh,4e464800
2,0.0.25,2,434096,2352,0,0,nfh,4e464800
2,0.0.26,2,436448,2352,0,0,nfh,4e464800
2,0.0.27,2,438800,7376,0,0,nfh,4e464800
2,0.0.28,2,446176,2352,0,0,nfh,4e464800
2,0.0.29,2,448528,2352,0,0,nfh,4e464800
2,0.0.30,2,450880,2352,0,0,nfh,4e464800
2,0.0.31,2,453232,1232,0,0,nfh,4e464800
2,0.0.32,2,454656,69632,0,0,ntxr,4e545852
2,0.0.33,2,524288,36864,0,0,ntxr,4e545852
2,0.0.34,2,561152,1052672,0,0,ntxr,4e545852
2,0.0.35,2,1613824,69632,0,0,ntxr,4e545852
2,0.0.36,2,1683456,36864,0,0,ntxr,4e545852
2,0.0.37,2,1720320,36864,0,0,ntxr,4e545852
2,0.0.38,2,1757184,36864,0,0,ntxr,4e545852
2,0.0.39,2,1794048,36864,0,0,ntxr,4e545852
2,0.0.40,2,1830912,36864,0,0,ntxr,4e545852
2,0.0.41,2,1867776,20480,0,0,ntxr,4e545852
2,0.0.42,2,1888256,20480,0,0,ntxr,4e545852
2,0.0.43,2,1908736,20480,0,0,ntxr,4e545852
2,0.0.44,2,1929216,135168,0,0,ntxr,4e545852
2,0.0.45,2,2064384,36864,0,0,ntxr,4e545852
2,0.0.46,2,2101248,266240,0,0,ntxr,4e545852
2,0.0.47,2,2367488,135168,0,0,ntxr,4e545852
2,0.0.48,2,2502656,266240,0,0,ntxr,4e545852
2,0.0.49,2,2768896,69632,0,0,ntxr,4e545852
2,0.0.50,2,2838528,36864,0,0,ntxr,4e545852
2,0.0.51,2,2875392,36864,0,0,ntxr,4e545852
2,0.0.52,2,2912256,20480,0,0,ntxr,4e545852
2,0.0.53,2,2932736,135168,0,0,ntxr,4e545852
2,0.0.54,2,3067904,20480,0,0,ntxr,4e545852
2,0.0.55,2,3088384,135168,0,0,ntxr,4e545852
2,0.0.56,2,3223552,36864,0,0,ntxr,4e545852
2,0.0.57,2,3260416,20480,0,0,ntxr,4e545852
2,0.1,1,3407872,97351,0,0,binary,48415348
3,0,0,4096,1932359,0,0,fhm,46484d20
3,0.0,1,65536,1769472,0,0,fhm,46484d20
3,0.0.0,2,960,52,0,0,binary,00000f86
3,0.0.1,2,1024,127168,0,0,binary,00240000
3,0.0.2,2,128192,11216,0,0,binary,00200000
3,0.0.3,2,139408,96,0,0,binary,00000000
3,0.0.4,2,139504,512,0,0,binary,00000000
3,0.0.5,2,140016,313304,0,0,binary,00200021
3,0.0.6,2,453328,4240,0,0,nfh,4e464800
3,0.0.7,2,457568,4208,0,0,nfh,4e464800
3,0.0.8,2,461776,3728,0,0,nfh,4e464800
3,0.0.9,2,465504,4240,0,0,nfh,4e464800
3,0.0.10,2,469744,2928,0,0,nfh,4e464800
3,0.0.11,2,472672,4208,0,0,nfh,4e464800
3,0.0.12,2,476880,4240,0,0,nfh,4e464800
3,0.0.13,2,481120,2448,0,0,nfh,4e464800
3,0.0.14,2,483568,2416,0,0,nfh,4e464800
3,0.0.15,2,485984,2352,0,0,nfh,4e464800
3,0.0.16,2,488336,3024,0,0,nfh,4e464800
3,0.0.17,2,491360,2768,0,0,nfh,4e464800
3,0.0.18,2,494128,3120,0,0,nfh,4e464800
3,0.0.19,2,497248,2672,0,0,nfh,4e464800
3,0.0.20,2,499920,2352,0,0,nfh,4e464800
3,0.0.21,2,502272,2352,0,0,nfh,4e464800
3,0.0.22,2,504624,2352,0,0,nfh,4e464800
3,0.0.23,2,506976,2352,0,0,nfh,4e464800
3,0.0.24,2,509328,2352,0,0,nfh,4e464800
3,0.0.25,2,511680,2352,0,0,nfh,4e464800
3,0.0.26,2,514032,2352,0,0,nfh,4e464800
3,0.0.27,2,516384,2352,0,0,nfh,4e464800
3,0.0.28,2,518736,3216,0,0,nfh,4e464800
3,0.0.29,2,521952,3088,0,0,nfh,4e464800
3,0.0.30,2,525040,3120,0,0,nfh,4e464800
3,0.0.31,2,528160,1232,0,0,nfh,4e464800
3,0.0.32,2,532480,69632,0,0,ntxr,4e545852
3,0.0.33,2,602112,36864,0,0,ntxr,4e545852
3,0.0.34,2,638976,69632,0,0,ntxr,4e545852
3,0.0.35,2,708608,69632,0,0,ntxr,4e545852
3,0.0.36,2,778240,36864,0,0,ntxr,4e545852
3,0.0.37,2,815104,36864,0,0,ntxr,4e545852
3,0.0.38,2,851968,36864,0,0,ntxr,4e545852
3,0.0.39,2,888832,36864,0,0,ntxr,4e545852
3,0.0.40,2,925696,36864,0,0,ntxr,4e545852
3,0.0.41,2,962560,20480,0,0,ntxr,4e545852
3,0.0.42,2,983040,20480,0,0,ntxr,4e545852
3,0.0.43,2,1003520,20480,0,0,ntxr,4e545852
3,0.0.44,2,1024000,36864,0,0,ntxr,4e545852
3,0.0.45,2,1060864,36864,0,0,ntxr,4e545852
3,0.0.46,2,1097728,135168,0,0,ntxr,4e545852
3,0.0.47,2,1232896,36864,0,0,ntxr,4e545852
3,0.0.48,2,1269760,36864,0,0,ntxr,4e545852
3,0.0.49,2,1306624,69632,0,0,ntxr,4e545852
3,0.0.50,2,1376256,36864,0,0,ntxr,4e545852
3,0.0.51,2,1413120,36864,0,0,ntxr,4e545852
3,0.0.52,2,1449984,20480,0,0,ntxr,4e545852
3,0.0.53,2,1470464,36864,0,0,ntxr,4e545852
3,0.0.54,2,1507328,36864,0,0,ntxr,4e545852
3,0.0.55,2,1544192,135168,0,0,ntxr,4e545852
3,0.0.56,2,1679360,69632,0,0,ntxr,4e545852
3,0.0.57,2,1748992,20480,0,0,ntxr,4e545852
3,0.1,1,1835008,97351,0,0,binary,48415348
4,0,0,4096,1997914,0,0,fhm,46484d20
4,0.0,1,65536,1806336,0,0,fhm,46484d20
4,0.0.0,2,992,52,0,0,binary,00000f87
4,0.0.1,2,1056,127200,0,0,binary,00240000
4,0.0.2,2,128256,11568,0,0,binary,00200000
4,0.0.3,2,139824,96,0,0,binary,00000000
4,0.0.4,2,139920,512,0,0,binary,00000000
4,0.0.5,2,140432,313072,0,0,binary,00200021
4,0.0.6,2,453504,4240,0,0,nfh,4e464800
4,0.0.7,2,457744,4208,0,0,nfh,4e464800
4,0.0.8,2,461952,3792,0,0,nfh,4e464800
4,0.0.9,2,465744,4240,0,0,nfh,4e464800
4,0.0.10,2,469984,2928,0,0,nfh,4e464800
4,0.0.11,2,472912,4208,0,0,nfh,4e464800
4,0.0.12,2,477120,4240,0,0,nfh,4e464800
4,0.0.13,2,481360,2352,0,0,nfh,4e464800
4,0.0.14,2,483712,2416,0,0,nfh,4e464800
4,0.0.15,2,486128,2352,0,0,nfh,4e464800
4,0.0.16,2,488480,3024,0,0,nfh,4e464800
4,0.0.17,2,491504,2768,0,0,nfh,4e464800
4,0.0.18,2,494272,3120,0,0,nfh,4e464800
4,0.0.19,2,497392,2608,0,0,nfh,4e464800
4,0.0.20,2,500000,2352,0,0,nfh,4e464800
4,0.0.21,2,502352,2352,0,0,nfh,4e464800
4,0.0.22,2,504704,2352,0,0,nfh,4e464800
4,0.0.23,2,507056,2352,0,0,nfh,4e464800
4,0.0.24,2,509408,2352,0,0,nfh,4e464800
4,0.0.25,2,511760,2352,0,0,nfh,4e464800
4,0.0.26,2,514112,2352,0,0,nfh,4e464800
4,0.0.27,2,516464,2352,0,0,nfh,4e464800
4,0.0.28,2,518816,3216,0,0,nfh,4e464800
4,0.0.29,2,522032,3088,0,0,nfh,4e464800
4,0.0.30,2,525120,3120,0,0,nfh,4e464800
4,0.0.31,2,528240,2704,0,0,nfh,4e464800
4,0.0.32,2,530944,1264,0,0,nfh,4e464800
4,0.0.33,2,532480,69632,0,0,ntxr,4e545852
4,0.0.34,2,602112,36864,0,0,ntxr,4e545852
4,0.0.35,2,638976,69632,0,0,ntxr,4e545852
4,0.0.36,2,708608,69632,0,0,ntxr,4e545852
4,0.0.37,2,778240,36864,0,0,ntxr,4e545852
4,0.0.38,2,815104,36864,0,0,ntxr,4e545852
4,0.0.39,2,851968,36864,0,0,ntxr,4e545852
4,0.0.40,2,888832,36864,0,0,ntxr,4e545852
4,0.0.41,2,925696,36864,0,0,ntxr,4e545852
4,0.0.42,2,962560,20480,0,0,ntxr,4e545852
4,0.0.43,2,983040,20480,0,0,ntxr,4e545852
4,0.0.44,2,1003520,20480,0,0,ntxr,4e545852
4,0.0.45,2,1024000,36864,0,0,ntxr,4e545852
4,0.0.46,2,1060864,36864,0,0,ntxr,4e545852
4,0.0.47,2,1097728,135168,0,0,ntxr,4e545852
4,0.0.48,2,1232896,36864,0,0,ntxr,4e545852
4,0.0.49,2,1269760,36864,0,0,ntxr,4e545852
4,0.0.50,2,1306624,69632,0,0,ntxr,4e545852
4,0.0.51,2,1376256,36864,0,0,ntxr,4e545852
