# vpermwi128 sites: address, instruction word, the immediate
# this SLEIGH module decodes, and the destination/source it names.
# Produced by scripts/Ac6VpermwiSites.java. Read-only, no oracle.
# columns: address word ghidra_immediate vd vb
821501d4	0x181b0250	0x20	vr0	vr0
82156b3c	0x19af6310	0x8c	vr13	vr12
82156b40	0x198f62d0	0x6c	vr12	vr12
82156c2c	0x19b76350	0xac	vr13	vr12
82156c30	0x199b6250	0x2c	vr12	vr12
82156d2c	0x19a363d0	0xec	vr13	vr12
82156d38	0x199b6390	0xcc	vr12	vr12
82171ad8	0x19631ad0	0x63	vr11	vr3
82171ae0	0x19071b10	0x83	vr8	vr3
82171b0c	0x19876b10	0x8d	vr12	vr13
82171b10	0x19236ad0	0x6d	vr9	vr13
82171b3c	0x19870310	0x80	vr12	vr0
82171b40	0x196302d0	0x60	vr11	vr0
82171b58	0x190b4350	0xa8	vr8	vr8
821725e4	0x194b5350	0xaa	vr10	vr10
821fb94c	0x18c36ad0	0x6d	vr6	vr13
821fb954	0x18a76b10	0x8d	vr5	vr13
821fb988	0x19076b10	0x8d	vr8	vr13
821fb98c	0x18e36ad0	0x6d	vr7	vr13
821fb9b8	0x190b4350	0xa8	vr8	vr8
821fb9cc	0x19270310	0x80	vr9	vr0
821fb9d4	0x18c302d0	0x60	vr6	vr0
82211454	0x19670210	0x00	vr11	vr0
82211470	0x18e36ad0	0x6d	vr7	vr13
82211480	0x199b6b10	0x8d	vr12	vr13
8221148c	0x19200290	0x40	vr9	vr0
82211490	0x18040350	0xa0	vr0	vr0
822114a4	0x19825a90	0x4b	vr12	vr11
822114b0	0x19a85b10	0x8b	vr13	vr11
822114b8	0x19470210	0x00	vr10	vr0
822115f8	0x1bc303dc	0xe0	vr126	vr0
822115fc	0x1bbb039c	0xc0	vr125	vr0
82211658	0x1b77035c	0xa0	vr123	vr0
8221165c	0x1b5b025c	0x20	vr122	vr0
822116e8	0x198f5b10	0x8b	vr12	vr11
822116f0	0x196f5ad0	0x6b	vr11	vr11
822118e0	0x19af6310	0x8c	vr13	vr12
822118e4	0x198f62d0	0x6c	vr12	vr12
8222dba0	0x1947f313	0x9e	vr10	vr126
8222dba8	0x1963fad3	0x7f	vr11	vr127
8222dbb0	0x1927fb13	0x9f	vr9	vr127
8222dbb4	0x1903f2d3	0x7e	vr8	vr126
8222dd00	0x1963f2d3	0x7e	vr11	vr126
8222dd08	0x1947f313	0x9e	vr10	vr126
8222e374	0x1947f313	0x9e	vr10	vr126
8222e37c	0x1963fad3	0x7f	vr11	vr127
8222e384	0x1927fb13	0x9f	vr9	vr127
8222e388	0x1903f2d3	0x7e	vr8	vr126
8222e4d4	0x1963f2d3	0x7e	vr11	vr126
8222e4dc	0x1947f313	0x9e	vr10	vr126
8222f77c	0x19a7f313	0x9e	vr13	vr126
8222f784	0x1803e2d3	0x7c	vr0	vr124
8222f78c	0x1987e313	0x9c	vr12	vr124
8222f794	0x1963f2d3	0x7e	vr11	vr126
8222f910	0x1963fad3	0x7f	vr11	vr127
8222f918	0x1947fb13	0x9f	vr10	vr127
82232180	0x19a363d0	0xec	vr13	vr12
8223218c	0x199b6390	0xcc	vr12	vr12
8225dcc4	0x18e302d0	0x60	vr7	vr0
8225dcc8	0x19070310	0x80	vr8	vr0
8225dcd0	0x18036ad0	0x6d	vr0	vr13
8225dcd4	0x19a76b10	0x8d	vr13	vr13
8225dd9c	0x18076b10	0x8d	vr0	vr13
8225dda4	0x19a36ad0	0x6d	vr13	vr13
8225e410	0x19a302d0	0x60	vr13	vr0
8225e414	0x19870310	0x80	vr12	vr0
8225e420	0x19670310	0x80	vr11	vr0
8225e424	0x180302d0	0x60	vr0	vr0
8225ea9c	0x19b73350	0xa6	vr13	vr6
8225eaa4	0x199b3250	0x26	vr12	vr6
8225eb98	0x19a363d0	0xec	vr13	vr12
8225eba0	0x199b6390	0xcc	vr12	vr12
8225ed1c	0x19b73350	0xa6	vr13	vr6
8225ed24	0x199b3250	0x26	vr12	vr6
8225edf0	0x19a363d0	0xec	vr13	vr12
8225edf4	0x199b6390	0xcc	vr12	vr12
8225fb8c	0x1987a313	0x94	vr12	vr116
8225fb94	0x19a3aad3	0x75	vr13	vr117
8225fb98	0x1927ab13	0x95	vr9	vr117
8225fb9c	0x1903a2d3	0x74	vr8	vr116
8225fccc	0x1983ead3	0x7d	vr12	vr125
8225fcd4	0x1967eb13	0x9d	vr11	vr125
8225fdcc	0x1983f2d3	0x7e	vr12	vr126
8225fdd4	0x1967f313	0x9e	vr11	vr126
82260150	0x1bcf031c	0x80	vr126	vr0
82260154	0x1baf02dc	0x60	vr125	vr0
82260728	0x19b73350	0xa6	vr13	vr6
8226072c	0x199b3250	0x26	vr12	vr6
822607ec	0x19a363d0	0xec	vr13	vr12
822607fc	0x199b6390	0xcc	vr12	vr12
82261020	0x18e302d0	0x60	vr7	vr0
82261024	0x19070310	0x80	vr8	vr0
82261030	0x18036ad0	0x6d	vr0	vr13
82261034	0x19a76b10	0x8d	vr13	vr13
822610f4	0x18076b10	0x8d	vr0	vr13
822610fc	0x19a36ad0	0x6d	vr13	vr13
82261a04	0x18e302d0	0x60	vr7	vr0
82261a08	0x19070310	0x80	vr8	vr0
82261a14	0x18036ad0	0x6d	vr0	vr13
82261a18	0x19a76b10	0x8d	vr13	vr13
82261ad8	0x18076b10	0x8d	vr0	vr13
82261ae0	0x19a36ad0	0x6d	vr13	vr13
82261c84	0x19af3310	0x86	vr13	vr6
82261c88	0x198f32d0	0x66	vr12	vr6
82262170	0x18e302d0	0x60	vr7	vr0
82262174	0x19070310	0x80	vr8	vr0
82262180	0x18036ad0	0x6d	vr0	vr13
82262184	0x19a76b10	0x8d	vr13	vr13
82262244	0x18076b10	0x8d	vr0	vr13
8226224c	0x19a36ad0	0x6d	vr13	vr13
822623f0	0x19af3310	0x86	vr13	vr6
822623f4	0x198f32d0	0x66	vr12	vr6
822636ec	0x18e302d0	0x60	vr7	vr0
822636f0	0x19070310	0x80	vr8	vr0
82263700	0x18036ad0	0x6d	vr0	vr13
82263704	0x19a76b10	0x8d	vr13	vr13
822637c4	0x18076b10	0x8d	vr0	vr13
822637cc	0x19a36ad0	0x6d	vr13	vr13
8226aa78	0x199b5a50	0x2b	vr12	vr11
8226aa7c	0x19b75b50	0xab	vr13	vr11
822770b4	0x19a70310	0x80	vr13	vr0
822770bc	0x180302d0	0x60	vr0	vr0
822770c0	0x19835ad0	0x6b	vr12	vr11
822770c4	0x19475b10	0x8b	vr10	vr11
822770d4	0x194362d0	0x6c	vr10	vr12
822770d8	0x19876310	0x8c	vr12	vr12
8227a610	0x1943e2d3	0x7c	vr10	vr124
8227a618	0x1927e313	0x9c	vr9	vr124
8227d420	0x198302d0	0x60	vr12	vr0
8227d428	0x19676b10	0x8d	vr11	vr13
8227d42c	0x18070310	0x80	vr0	vr0
8227d430	0x19a36ad0	0x6d	vr13	vr13
8227d4bc	0x1963fad3	0x7f	vr11	vr127
8227d4c4	0x1947fb13	0x9f	vr10	vr127
822954f4	0x19bb5a50	0x2b	vr13	vr11
822954f8	0x18175b50	0xab	vr0	vr11
822a08a8	0x19af3310	0x86	vr13	vr6
822a08ac	0x198f32d0	0x66	vr12	vr6
822a0968	0x19a363d0	0xec	vr13	vr12
822a097c	0x199b6390	0xcc	vr12	vr12
822a0b1c	0x199b3390	0xc6	vr12	vr6
822a0b24	0x19a333d0	0xe6	vr13	vr6
822a0cb8	0x19af3b10	0x87	vr13	vr7
822a0cbc	0x198f3ad0	0x67	vr12	vr7
822a2620	0x19bb6250	0x2c	vr13	vr12
822a2628	0x18176350	0xac	vr0	vr12
822a8378	0x19b70350	0xa0	vr13	vr0
822a837c	0x181b0250	0x20	vr0	vr0
822a8524	0x19b70350	0xa0	vr13	vr0
822a8528	0x181b0250	0x20	vr0	vr0
822c1e00	0x19670310	0x80	vr11	vr0
822c1e04	0x180302d0	0x60	vr0	vr0
822c1e08	0x19836ad0	0x6d	vr12	vr13
822c1e0c	0x19a76b10	0x8d	vr13	vr13
822c201c	0x19476b10	0x8d	vr10	vr13
822c2020	0x192362d0	0x6c	vr9	vr12
822c2024	0x19876310	0x8c	vr12	vr12
822c2028	0x19a36ad0	0x6d	vr13	vr13
822c202c	0x19035ad0	0x6b	vr8	vr11
822c2034	0x19675b10	0x8b	vr11	vr11
822c3ab0	0x191e6bd0	0xed	vr8	vr13
822c3abc	0x192b6b50	0xad	vr9	vr13
822c3acc	0x19670210	0x00	vr11	vr0
822c3ad8	0x18fb6310	0x8c	vr7	vr12
822c3adc	0x18c362d0	0x6c	vr6	vr12
822c3ae8	0x18e00290	0x40	vr7	vr0
822c3aec	0x18040350	0xa0	vr0	vr0
822c3b00	0x18e25290	0x4a	vr7	vr10
822c3b14	0x19a86b10	0x8d	vr13	vr13
822c3b1c	0x19670210	0x00	vr11	vr0
822c44ac	0x180f3b10	0x87	vr0	vr7
822c44b0	0x19af3ad0	0x67	vr13	vr7
822c457c	0x18176b50	0xad	vr0	vr13
822c4580	0x19bb6a50	0x2d	vr13	vr13
822c4640	0x18036bd0	0xed	vr0	vr13
822c4644	0x19bb6b90	0xcd	vr13	vr13
822c74a0	0x19a303d0	0xe0	vr13	vr0
822c74a4	0x181b0390	0xc0	vr0	vr0
822c7548	0x19b70350	0xa0	vr13	vr0
822c754c	0x181b0250	0x20	vr0	vr0
822c7bb8	0x198f32d0	0x66	vr12	vr6
822c7bbc	0x19af3310	0x86	vr13	vr6
822c7cb0	0x19a363d0	0xec	vr13	vr12
822c7cc8	0x199b6390	0xcc	vr12	vr12
822c83c0	0x180f3b10	0x87	vr0	vr7
822c83c4	0x19af3ad0	0x67	vr13	vr7
822c849c	0x18176b50	0xad	vr0	vr13
822c84a0	0x19bb6a50	0x2d	vr13	vr13
822c854c	0x18033bd0	0xe7	vr0	vr7
822c8550	0x19bb3b90	0xc7	vr13	vr7
822d204c	0x1963f2d3	0x7e	vr11	vr126
822d2054	0x1927f313	0x9e	vr9	vr126
822d50c4	0x19836ad0	0x6d	vr12	vr13
822d50cc	0x19a76b10	0x8d	vr13	vr13
822d50d0	0x19270310	0x80	vr9	vr0
822d50d8	0x190302d0	0x60	vr8	vr0
822d6a30	0x18c76b10	0x8d	vr6	vr13
822d6a34	0x18a36ad0	0x6d	vr5	vr13
822d6aa0	0x18e70310	0x80	vr7	vr0
822d6aa8	0x192302d0	0x60	vr9	vr0
822d6b64	0x19a302d0	0x60	vr13	vr0
822d6b68	0x18070310	0x80	vr0	vr0
822d84b8	0x19a303d0	0xe0	vr13	vr0
822d84bc	0x181b0390	0xc0	vr0	vr0
822d8530	0x19b70350	0xa0	vr13	vr0
822d8534	0x181b0250	0x20	vr0	vr0
822d8af8	0x19a303d0	0xe0	vr13	vr0
822d8afc	0x181b0390	0xc0	vr0	vr0
822d927c	0x19a303d0	0xe0	vr13	vr0
822d9280	0x181b0390	0xc0	vr0	vr0
822d92f0	0x19b70350	0xa0	vr13	vr0
822d92f4	0x181b0250	0x20	vr0	vr0
