index	group	archive	codec	source_offset	stored_size	expanded_size	source_end
100	0x00020000	DATA00.PAC	mode1-xor-raw	199426048	4592	4592	199430640
101	0x00020000	DATA00.PAC	mode1-xor-raw	199458816	4592	4592	199463408
102	0x00020000	DATA00.PAC	mode1-xor-raw	199491584	4592	4592	199496176
103	0x00010000	DATA00.PAC	mode1-xor-deflate	199524352	1761231	7802064	201285583
104	0x00020000	DATA00.PAC	mode1-xor-raw	201293824	4592	4592	201298416
105	0x00020000	DATA00.PAC	mode1-xor-raw	201326592	4592	4592	201331184
106	0x00020000	DATA00.PAC	mode1-xor-raw	201359360	4592	4592	201363952
107	0x00020000	DATA00.PAC	mode1-xor-raw	201392128	4592	4592	201396720
108	0x00020000	DATA00.PAC	mode1-xor-raw	201424896	4592	4592	201429488
109	0x00010000	DATA00.PAC	mode1-xor-deflate	201457664	1514067	5769552	202971731
110	0x00020000	DATA00.PAC	mode1-xor-raw	202997760	4592	4592	203002352
111	0x00010000	DATA00.PAC	mode1-xor-deflate	203030528	3057295	11269328	206087823
112	0x00020000	DATA00.PAC	mode1-xor-raw	206110720	4592	4592	206115312
113	0x00020000	DATA00.PAC	mode1-xor-raw	206143488	4592	4592	206148080
114	0x00020000	DATA00.PAC	mode1-xor-raw	206176256	4592	4592	206180848
115	0x00010000	DATA00.PAC	mode1-xor-deflate	206209024	1170383	5554832	207379407
116	0x00020000	DATA00.PAC	mode1-xor-raw	207388672	4592	4592	207393264
117	0x00010000	DATA00.PAC	mode1-xor-deflate	207421440	2903691	13206592	210325131
118	0x00010000	DATA00.PAC	mode1-xor-deflate	210337792	584318	1709528	210922110
119	0x00010000	DATA00.PAC	mode1-xor-deflate	210927616	116266854	165892096	327194470
120	0x00010000	DATA00.PAC	mode1-xor-deflate	327221248	138400944	166891520	465622192
121	0x00010000	DATA00.PAC	mode1-xor-deflate	465633280	122436851	154509312	588070131
122	0x00010000	DATA00.PAC	mode1-xor-deflate	588087296	125047453	148983808	713134749
