# The 1619 locator-like words the RTTI sweep refused, named at last.
# Produced by scripts/Ac6RttiRejects.java, read-only, no oracle. It re-runs
# SweepMsvcRtti's identical scan - same 811 vtables, same 1619 refusals -
# and records which step of the chain refused each candidate.
#
# reason is the first step that failed, in the sweep's own order:
# signature, type_out_of_range, hierarchy_out_of_range, name_unreadable,
# name_not_rtti, slot_unreadable, slot_not_code.
#
# Not one candidate reached the vtable test. Every refusal happened on the
# name, which is to say the word never pointed at a type descriptor at all,
# so no class was lost to this filter.
#
# name_bytes is the hex of whatever the sweep read where a decorated name
# should be, and empty when it could not be read at all. It is binary, and
# that is the point.
# image range 82000400..82ac3083
# hierarchy_out_of_range=1 name_not_rtti=1096 name_unreadable=522
# columns: at target reason block name_bytes following_word
0x8206b47c	0x8206b480	name_not_rtti	.rdata	8206b32c8206b3488206a480	0x00000000
0x8206b4c0	0x8206b480	name_not_rtti	.rdata	8206b32c8206b3488206a480	0x00000000
0x8206b4d4	0x8206b4d8	name_not_rtti	.rdata	826786a8	0x00000000
0x8206b508	0x8206b4d8	name_not_rtti	.rdata	826786a8	0x00000000
0x8206b51c	0x8206b520	name_not_rtti	.rdata	826786c8	0x00000000
0x8206b550	0x8206b520	name_not_rtti	.rdata	826786c8	0x00000000
0x8206b564	0x8206b568	name_not_rtti	.rdata	826786f0	0x00000000
0x8206b598	0x8206b568	name_not_rtti	.rdata	826786f0	0x00000000
0x8206b5ac	0x8206b5b0	name_unreadable	.rdata		0x00000000
0x8206b5e4	0x8206b5b0	name_unreadable	.rdata		0x00000000
0x8206b5f8	0x8206b5fc	name_unreadable	.rdata		0x00000000
0x8206b630	0x8206b5fc	name_unreadable	.rdata		0x00000000
0x8206b644	0x8206b648	name_unreadable	.rdata		0x00000000
0x8206b67c	0x8206b648	name_unreadable	.rdata		0x00000000
0x8206b6b0	0x8206b680	name_not_rtti	.rdata	82678f90	0x00000000
0x8206b6c4	0x8206b6c8	name_unreadable	.rdata		0x00000000
0x8206b6fc	0x8206b6c8	name_unreadable	.rdata		0x00000000
0x8206b710	0x8206b714	name_not_rtti	.rdata	8206b698	0x00000000
0x8206b74c	0x8206b714	name_not_rtti	.rdata	8206b698	0x00000000
0x8206b788	0x8206b750	name_not_rtti	.rdata	8206b698	0x00000000
0x8206b7c4	0x8206b78c	name_not_rtti	.rdata	8206b698	0x00000000
0x8206b7d8	0x8206b7dc	name_not_rtti	.rdata	8206b698	0x00000000
0x8206b814	0x8206b7dc	name_not_rtti	.rdata	8206b698	0x00000000
0x8206b828	0x8206b82c	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
0x8206b868	0x8206b82c	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
0x8206b87c	0x8206b880	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
0x8206b8bc	0x8206b880	name_not_rtti	.rdata	8206b6e48206b698	0x00000000
