angle	retail	port	verdict
0.444564998149499	0.9027978299657434	0.9027978299657434	ok
0.454444220330599	0.8985051336530798	0.8985051336530798	ok
0.464323442511699	0.8941247448233384	0.8941247448233384	ok
0.474202664692799	0.8896570909947472	0.8896570909947472	ok
0.4840818868738989	0.8851026082024438	0.8851026082024438	ok
0.49396110905499896	0.8804617409559197	0.8804617409559197	ok
0.5038403312360988	0.8757349421956367	0.8757349421956367	ok
0.5137195534171989	0.8709226732488213	0.8709226732488213	ok
0.5235987755982988	0.8660254037844387	0.8660254037844387	ok
0.5334779977793989	0.8610436117673554	0.8610436117673554	ok
0.5433572199604988	0.8559777834116903	0.8559777834116903	ok
0.5532364421415988	0.8508284131333599	0.8508284131333599	ok
0.5631156643226988	0.845596003501826	0.845596003501826	ok
0.5729948865037988	0.8402810651910443	0.8402810651910443	ok
0.5828741086848988	0.8348841169296242	0.8348841169296242	ok
0.5927533308659987	0.8294056854502019	0.8294056854502019	ok
0.6026325530470987	0.8238463054380317	0.8238463054380317	ok
0.6125117752281987	0.8182065194788024	0.8182065194788024	ok
0.6223909974092987	0.8124868780056813	0.8124868780056813	ok
0.6322702195903986	0.806687939245593	0.806687939245593	ok
0.6421494417714986	0.8008102691647376	0.8008102691647376	ok
0.6520286639525986	0.7948544414133533	0.7948544414133533	ok
0.6619078861336986	0.7888210372697292	0.7888210372697292	ok
0.6717871083147986	0.7827106455834733	0.7827106455834733	ok
0.6816663304958985	0.7765238627180425	0.7765238627180425	ok
0.6915455526769985	0.7702612924925376	0.7702612924925376	ok
0.7014247748580985	0.7639235461227725	0.7639235461227725	ok
0.7113039970391984	0.7575112421616201	0.7575112421616201	ok
0.7211832192202984	0.7510250064386429	0.7510250064386429	ok
0.7310624414013984	0.7444654719990127	0.7444654719990127	ok
0.7409416635824984	0.7378332790417274	0.7378332790417274	ok
0.7508208857635983	0.7311290748571274	0.7311290748571274	ok
0.7607001079446983	0.7243535137637227	0.7243535137637227	ok
0.7705793301257983	0.7175072570443312	0.7175072570443312	ok
0.7804585523068983	0.7105909728815396	0.7105909728815396	ok
0.7903377744879982	0.7036053362924896	0.7036053362924896	ok
0.8002169966690982	0.6965510290629972	0.6965510290629972	ok
0.8100962188501981	0.689428739681012	0.689428739681012	ok
0.8199754410312983	0.6822391632694219	0.6822391632694219	ok
0.8298546632123982	0.6749830015182106	0.6749830015182106	ok
0.8397338853934981	0.6676609626159727	0.6676609626159727	ok
0.8496131075745981	0.6602737611807974	0.6602737611807974	ok
0.8594923297556981	0.6528221181905217	0.6528221181905217	ok
0.869371551936798	0.6453067609123653	0.6453067609123653	ok
0.8792507741178981	0.6377284228319493	0.6377284228319493	ok
0.889129996298998	0.6300878435817111	0.6300878435817111	ok
0.8990092184800981	0.6223857688687158	0.6223857688687158	ok
0.908888440661198	0.6146229504018775	0.6146229504018775	ok
0.9187676628422979	0.6068001458185934	0.6068001458185934	ok
0.928646885023398	0.5989181186108002	0.5989181186108002	ok
0.938526107204498	0.5909776380504582	0.5909776380504582	ok
0.948405329385598	0.5829794791144721	0.5829794791144721	ok
0.9582845515666979	0.574924422409054	0.574924422409054	ok
0.9681637737477978	0.5668132540935379	0.5668132540935379	ok
0.978042995928898	0.5586467658036525	0.5586467658036525	ok
0.9879222181099979	0.5504257545742584	0.5504257545742584	ok
0.9978014402910979	0.5421510227615586	0.5421510227615586	ok
1.0076806624721977	0.5338233779647908	0.5338233779647908	ok
1.0175598846532976	0.5254436329474064	0.5254436329474064	ok
1.0274391068343978	0.517012605557746	0.517012605557746	ok
